Key,Translation,Version,Comment (context for translators)
objects.devices.lightblock,,,
objects.devices.lightblock.desc,,,
objects.devices.loom,,,
objects.devices.loom.desc,,,
objects.devices.matterreactor,,,
objects.devices.matterreactor.desc,,,
objects.devices.matterreactormini,,,
objects.devices.matterreactormini.desc,,,
objects.devices.memorymodule,,,
objects.devices.memorymodule.desc,,2023-07-31,
objects.devices.memorymodulemini,,,
objects.devices.mlbooth,,,
objects.devices.mlbooth.desc,,,
objects.devices.nuclearreactor,,,
objects.devices.nuclearreactor.desc,,,
objects.devices.nutrientextractor,,,
objects.devices.nutrientextractor.desc,,2024-07-24,
objects.devices.oxygenpump,,,
objects.devices.oxygenpump.desc,,,
objects.devices.particlecollector,,,
objects.devices.particlecollector.desc,,,
objects.devices.planter,,,
objects.devices.planter.desc,,2022-03-20,
objects.devices.plantermini,,,
objects.devices.plantermini.desc,,2022-03-19,
objects.devices.probe,,,
objects.devices.probe.desc,,,
objects.devices.quantumbarrier,,,
objects.devices.quantumbarrier.desc,,,
objects.devices.radar,,,
objects.devices.radar.desc,,,
objects.devices.radiator,,,
objects.devices.radiator.desc,,,
objects.devices.recycler,,,
objects.devices.recycler.desc,,,
objects.devices.refinery,,,
objects.devices.refinery.desc,,,
objects.devices.repairstation,,,
objects.devices.repairstation.desc,,,
objects.devices.researchstation,,,
objects.devices.researchstation.desc,,2023-07-10,
objects.devices.securitycontrols,,,
objects.devices.securitycontrols.desc,,,
objects.devices.shipcomputer,,,
objects.devices.shipcomputer.desc,,2022-11-15,
objects.devices.shower,,,
objects.devices.shower.desc,,,
objects.devices.shuttle,,,
objects.devices.shuttle.desc,,,
objects.devices.sleepingpod,,,
objects.devices.sleepingpod.desc,,,
objects.devices.solarpanel,,,
objects.devices.solarpanel.desc,,,
objects.devices.solarpanelarray,,,
objects.devices.solarpanelarray.desc,,,
objects.devices.solarpanelarray2,,,
objects.devices.solarpanelarray2.desc,,,
objects.devices.stardeuslogo,Stardeus Logo,,
objects.devices.stardeuslogo.desc,,,
objects.devices.stasisarray,Stasis Ruimte,,
objects.devices.stasisarray.desc,,,
objects.devices.stasispod,,,
objects.devices.stasispod.desc,,,
objects.devices.storage.desc,,,
objects.devices.switch,,,
objects.devices.switch.desc,,,
objects.devices.teleporter,,,
objects.devices.teleporter.desc,,2022-08-14,
objects.devices.telescope,Telescoop,,
objects.devices.telescope.desc,Gebruik de telescoop om potentieel bewoonbare planeten te vinden. Deze planeten kunnen dan via terravorming getransformeerd worden tot nieuwe woonplekken.,,
objects.devices.terraformcontrols,,,
objects.devices.terraformcontrols.desc,,,
objects.devices.terraformeraqua,Oceaan Generator,,
objects.devices.terraformeraqua.desc,,,
objects.devices.terraformeratmo,Atmosfeer Generator,,
objects.devices.terraformeratmo.desc,,,
objects.devices.terraformerbio,Biosfeer Generator,,
objects.devices.terraformerbio.desc,,,
objects.devices.terraformerterrain,Terrein Generator,,
objects.devices.terraformerterrain.desc,,,
objects.devices.thruster,,,
objects.devices.thruster.desc,,2022-01-07,
objects.devices.toilet,,,
objects.devices.toilet.desc,,,
objects.devices.tractorbeam,,,
objects.devices.tractorbeam.desc,,,
objects.devices.treadmill,Loopband,,
objects.devices.treadmill.desc,,,
objects.devices.tubefeeder,,,
objects.devices.tubefeeder.desc,,2022-03-19,
objects.devices.voidripper,,,
objects.devices.voidripper.desc,,2024-12-18,
objects.devices.winchanchor,,,
objects.devices.winchanchor.desc,,2022-10-11,
objects.devices.winchhook,,,
objects.devices.winchhook.desc,,2022-10-11,
objects.furniture.bedsteel,Metalen Bed,,
objects.furniture.bedsteel.desc,Een plek voor kolonisten om te slapen.,,
objects.furniture.bedsteeldouble,Metalen Dubbelbed,,
objects.furniture.bedsteeldouble.desc,Een groot bed voor twee mensen.,,
objects.furniture.bedwood,Houten Bed,,
objects.furniture.bedwood.desc,Een plek voor kolonisten om te slapen.,,
objects.furniture.bedwooddouble,Houten Dubbelbed,,
objects.furniture.bedwooddouble.desc,Een groot bed voor twee mensen.,,
objects.furniture.cabinet,,,
objects.furniture.cabinet.desc,,,
objects.furniture.chaircaptain,,,
objects.furniture.chaircaptain.desc,,,
objects.furniture.chairsteel,Metalen Stoel,,
objects.furniture.chairsteel.desc,Een plek voor mensen om te zitten. Praktisch en goedkoop maar niet comfortabel.,,
objects.furniture.chairwood,Houten stoel,,
objects.furniture.chairwood.desc,"Een plek voor mensen om te zitten. Voelt als een klassieke op Aarde gemaakte stoel, toen er nog een Aarde was.",,
objects.furniture.petbed,,,
objects.furniture.petbed.desc,,,
objects.furniture.petbowl,,,
objects.furniture.petbowl.desc,,,
objects.furniture.tablesteel1x2,,,
objects.furniture.tablesteel1x2.desc,,,
objects.furniture.tablesteel1x3,,,
objects.furniture.tablesteel1x3.desc,,,
objects.furniture.tablewood1x2,,,
objects.furniture.tablewood1x2.desc,,,
objects.furniture.tablewood1x3,,,
objects.furniture.tablewood1x3.desc,,,
objects.furniture.vase01,Vaas,,
objects.furniture.vase01.desc,Een gestileerde metalen pot om kleine planten te kweken.,,
objects.furniture.wardrobesteel,Metalen Kleerkast,,
objects.furniture.wardrobesteel.desc,Een plek om kleding in op te bergen.,,
off,Uit,,"In combination with ""off"" could be used to describe several things:
1. State of device (turned on or turned off)
2. State of equipment: equipped (on) or unequipped (off). As in ""the hat is on"", ""the space suit is off"""
offline,Uitgelogd,,
offline.workers,Uitgelogde Werkers,,
ok,OK,,
on,Aan,,"In combination with ""off"" could be used to describe several things:
1. State of device (turned on or turned off)
2. State of equipment: equipped (on) or unequipped (off). As in ""the hat is on"", ""the space suit is off"""
on.expedition,Op Expeditie,,
on.fire,In Brand!,,
ongoing.trade,Handel gaande,,
open,Open,,
open.capsule,Open opbergkoffer,,
open.changelog,,,
open.codex,Open Codex,,
open.dir,Open Folder,,
open.emblems.folder,,,
open.energy.overlay,,,
open.floor.vent,Open vloerontluchting,,
open.in.steam.workshop,,,
open.log.dir,,,
open.research,Open Onderzoek,,
open.resources.overlay,Open Inventaris,,
open.sections.overlay,Open Secties,,
open.space,,,Used to refer to empty cosmos when you are inspecting some location
open.starmap,Open Sterrenkaart,,
open.terraform.controls,,,
open.url,Open URL,,
open.vent,,,
operate.device,,,
operation.aborted,Operatie afgebroken,,
operation.failed,Operatie gefaald,,
operation.failed.device.heavily.damaged,,,
operation.forbidden,Operatie verboden,,
operator.required,,,
optional,Optioneel,,
order,,,"i.e. ""order execution of a task"""
order.cleaning.now,,,
order.deconstruct,,,
order.petting,,,
order.repair,,,
order.rescue,,,
order.strip,,,"Label on a button that orders stripping clothing or equipment (weapons, space suit, etc) off a dead body"
ore.depleted,,,
ore.depleted.info,,,
our.valuables,,,
our.wallet,,,
overlay.tip.Aesthetics,,,
overlay.tip.Airtight,Luchtdichtheid,,
overlay.tip.Areas,Omgevingen,,
overlay.tip.Beings,Wezens,,
overlay.tip.Codex,Codex,,
overlay.tip.Combat,Gevechten,,
overlay.tip.Energy,Energie,,
overlay.tip.EventLog,,,
overlay.tip.Expedition,Expedities,,
overlay.tip.Goals,Suggesties,,
overlay.tip.Heat,Temperatuur,,
overlay.tip.Insulation,Isolatie,,
overlay.tip.Islands,Secties,,
overlay.tip.Oxygen,Zuurstof,,
overlay.tip.Pathfinding,,,
overlay.tip.Plan,,,
overlay.tip.Quests,Opdrachten,,
overlay.tip.Research,Onderzoek,,
overlay.tip.Resources,Inventaris,,
overlay.tip.Security,Veiligheid,,
overlay.tip.ShipNav,,,
overlay.tip.Starmap,Sterrenkaart,,
overlay.tip.Tasks,Taken,,
overlay.tip.Terraform,Terravorming,,
overlay.tip.Wallet,Rekening,,
owned,In Bezit,,Adjective telling that an object belongs to someone
owned.by.faction,,,
owned.by.faction.details,,,
oxygen,Zuurstof,,
oxygen.at,Zuurstof op {0}: {1},,"This will display coordinate in {0} and percentage in {1}. Example: ""Oxygen at [12:34]: 21%"""
oxygen.level,Zuurstofniveau,,
pan.sens.tip,,,
pan.sensitivity,,,
particle.collector,Deeltjesverzamelaar,,
particle.collector.unconfigured,Deeltjesverzamelaar niet geconfigureerd,,
paste.color.hex,,,
paste.from.clipboard,,,
path.at,,,"{0} is position, {1} is type of path (""walkable"", ""flyable"", etc), {2} is perecntage. Example: ""[12:31] is ""Walkable"" [Difficulty: 10%]"""
path.at.impassable,,,
path.flyable,Overvliegbaar,,
path.not.passable,,,
path.walkable,Bewandelbaar,,
pause.on.cam.motion,,,
pause.on.cam.motion.tip,,,
pending.repair,,,
percentage.charge.bar,Lading: {0},,
percentage.scan.bar,,,
persona,,,https://dictionary.cambridge.org/dictionary/english/persona
persona.log.age,,,
persona.log.backstory,,,
persona.log.birthdate,,,
persona.log.fullname,,,
persona.log.gender,,,
persona.log.sex.orientation,,,
persona.log.species,,,
pet,,,
petted.a.pet,,,
placement.tip.Anywhere,,,
placement.tip.InSpace,,,
placement.tip.InSpaceAttached,,,
placement.tip.InSpaceAttachedChained,,,
placement.tip.NearShipComputer,,,
placement.tip.OnFloor,,,
placement.tip.workspot,,,
plan.mirroring,,,
plan.mirroring.info,,,Both {0} and {1} are True or False. It is to designate if mirroring is turned on on X and/or Y axis
planet.location,,,"{0} is planet name, {1} is star system name, {2} is galaxy name. Example: ""Earth is located in Solar System, Milky Way Galaxy"""
planter,,,
play.track,,,
position,,,
post.to.discord,,,
power.output,,,
precise.skill.level,,,
preparing,,,
present,,,"Opposite of ""Absent"". As in ""John is present in class today"""
prev,,,
print,,,
print.object,,,
printing.item,,,
printing.now,,,
priority.block.shift.tip,,2022-10-31,
privacy.policy,,,
probe.pending,,,
probe.scanned.target,,,
proceed,,,
process.Grindable,,,
process.material,,,
process.NutrientSource,,,
process.Ore,,,
process.ScrapMetal,,,
process.Waste,,,
processable,,,
processed.in,,,"{0} will be a device name, example: ""Processed in Nutrient Extractor"""
processing.bar,,,
processing.output,,,
processing.priority,,,
processing.priority.help,,,
processing.type,,,
processing.x.in.y,,,"Example: ""Quartz in Furnace"""
processor.queue,,,
processor.settings,,,
processor.unavailable,,,
processor.unavailable.desc,,,
processors.unavailable,,,
processors.unavailable.desc,,,
produced.by.processing,,,
production.date,,,
protein,,,
quantity,,,
quest.active,,,Used as a list header for this quest type
quest.ColonizePlanet,Koloniseer een Planeet,,
quest.ColonizePlanet.desc,We moeten een bewoonbare planeet koloniseren.,,
quest.completed,<b>Opdracht Voltooid: {0}</b><br><br>{1},,
quest.ConnectToStasisArray,,,
quest.ConnectToStasisArray.connectors.tip,,,
quest.ConnectToStasisArray.desc,,,
quest.ConnectToStasisArray.merge.islands,,,
quest.ConnectToStasisArray.merge.islands.tip,,2022-09-21,
quest.ConnectToStasisArray.reel.in,,,
quest.ConnectToStasisArray.reel.in.tip,,,
quest.ConnectToSurvivorArea,,2022-09-21,"When you start the game, there is a small room with survivors. You as a ship computer have to connect your electric grid to the network inside that room."
quest.ConnectToSurvivorArea.connectors.tip,,,
quest.ConnectToSurvivorArea.desc,,,
quest.ConnectToSurvivorArea.floor.socket,,,
quest.ConnectToSurvivorArea.floor.socket.tip,,,
quest.details,,,"Displayed on a small button, should be short"
quest.EncloseStasisArray,,,
quest.EncloseStasisArray.desc,,,
quest.EstablishFoodProduction,,,
quest.EstablishFoodProduction.desc,,,
quest.FindHabitablePlanet,Vind een Bewoonbare Planeet,,
quest.FindHabitablePlanet.desc,Onze originele missie was een <b>Bewoonbare Planeet</b> vinden voor onze <b>menselijke overlevers</b>. Op dit moment zijn we klaar om deze missie terug op te nemen.,,
quest.HailAMerchant,,,
quest.HailAMerchant.desc,,,
quest.info,,,"{0} will be quest title (i.e. ""Defeat the dragon""). {1} will be a long description, {2} will be a list of rewards"
quest.MakeShipFlightReady,,,
quest.MakeShipFlightReady.bridge.controls.tip,,,
quest.MakeShipFlightReady.desc,,,
quest.MakeShipFlightReady.thruster.tip,,,
quest.new,Nieuwe Opdracht: <b>{0}</b><br><br>{1}<br><br>{2},,"{0} will be quest title (i.e. ""Defeat the dragon""). {1} will be a long description, {2} will be a list of rewards"
quest.no.active,,,
quest.no.active.many.available.tip,,,{0} is a number (2 or greater). {1} will be the list of quest names
quest.no.active.one.available.tip,,,{0} is the quest name
quest.pause,,,"Deactivates the quest, or stops following it. Should be short text, displayed on a fairly small button"
quest.ProvideChargeStation,,,
quest.ProvideChargeStation.build.connector.tip,,,
quest.ProvideChargeStation.build.reactor.tip,,,
quest.ProvideChargeStation.configure.reactor,,,
quest.ProvideChargeStation.configure.reactor.tip,,,
quest.ProvideChargeStation.desc,,2022-09-20,
quest.reward.research.discover,,2022-09-20,Displayed in a list of rewards. This will reveal a new research tree branch. {0} is the technology name.
quest.reward.research.progress,,,"Example: ""Research Progress: Biotech: +20%"""
quest.reward.research.unlock,,,Displayed in list of rewards. This will unlock a technology with name {0}
quest.rewards,Beloningen,,
quest.set.active,Maak Actief,,"Displayed on a small button, should be short"
quest.show,Toon Opdracht,,
quest.show.all,Toon Opdrachten,,
quest.step.build.many,,,"{0} will be a multiplier, {1} will be the device name. Example: ""Build <b>x2 Matter Reactor</b>"""
quest.step.build.one,Bouw een <b>{0}</b>,,"{0} will be the device name. Example: ""Build a <b>Matter Reactor</b>"""
quest.step.build.tip,Je kunt de blauwdrukken voor dit object vinden in het <b>Werktuig Menu</b>:<br>{0},2023-08-16,
quest.step.build.tip.search,Tip: Gebuik <b>snel Zoeken</b> ({0}) om <b>een blauwdruk te vinden</b> door zijn naam te typen.,,
quest.step.chain.connectors,,,
quest.step.colonize,,2022-09-26,
quest.step.colonize.tip,,,
quest.step.completed,,2022-09-21,"{0}/{1} will be numbers. {2} will be a task from the quest., Example: ""<b>Done [4/8]: Build a Matter Reactor"""
quest.step.configure.crafter,,,
quest.step.configure.crafter.tip,,,
quest.step.connect.to,,,"{0} will be a device name, i.e. Connect to the Stasis Array"
quest.step.enclose,,2022-09-23,"{0} is the device name (i.e. Stasis Array). Context: It will ask the player to enclose the device with walls, close all doors, vents and repair the damage. Tooltip below will explain it."
quest.step.enclose.tip,,2022-09-23,{0} is the device name (i.e. Stasis Array)
quest.step.find.habitable.planet,Ontdek een <b>Bewoonbare Planeet</b>,,
quest.step.find.habitable.planet.tip,"Gebruik de <b>Telescoop</b> om een <b>Bewoonbare Planeet</b> te vinden in het observeerbare universum. Nadat je één gevonden hebt, zet koers ernaar en onderzoek <b>Terravorming</b>.",,
quest.step.hail.a.merchant,,,
quest.step.hail.a.merchant.tip,,,
quest.step.have.on.grid.many,Bouw en Connecteer <b>{0} {1}</b>,,"{0} will be a multiplier, {1} will be the device name. Example: ""Build and Connect <b>x2 Matter Reactor</b>"""
quest.step.have.on.grid.one,Bouw en Connecteer een <b>{0}</b>,,"{0} will be the device name. Example: ""Build and Connect a <b>Matter Reactor</b>"""
quest.step.have.one.section,,,
quest.step.have.one.section.tip,,,
quest.step.make.accessible,,,{0} is the device name (i.e. Stasis Array)
quest.step.make.accessible.tip,,,
quest.step.make.airtight,,,{0} is the device name (i.e. Stasis Array)
quest.step.make.airtight.tip,,,
quest.step.make.ship.flight.ready,,,
quest.step.make.ship.flight.ready.tip,,,
quest.step.optional,Optioneel,,
quest.step.produce.many,Produceer <b>{0} {1}</b>,,
quest.step.produce.one,Produceer een <b>{0}</b>,,
quest.step.produce.tip,,,
quest.step.research,Onderzoek <b>{0}</b>,,"This line will ask the player to research a technology. I.e. ""Research <b>Biotech</b>"""
quest.step.research.tip,Ontgrendel {0} in de <b>Onderzoeksboom</b>. Je kunt de <b>Zoeken</b> knop gebruiken om het te vinden.,2023-08-08,"{0} will be chain of research items, i.e. ""Biotech > Vegetarian Food"""
quest.step.set.ship.forward.direction,,,
quest.step.set.ship.forward.direction.tip,,,
quest.step.terraform,Terravorm <b>{0}</b>,,
quest.step.terraform.tip,Om <b>{0}</b> te terravormen moet je <b>{1}</b> gebruiken in de nabijheid van een terravormbare planeet.,,"{0} will be the terraforming type (i.e. Biosphere), {1} will be device name (i.e. Biosphere Generator)"
quest.tasks.completed,Afgewerkte Taken,,
quest.tasks.current,Huidige Taken,,
quest.tasks.failed,Gefaalde Taken,,
quests,Opdrachten,,
quests.active,Actief,,"Appears on buttons that switch tabs, should be short"
quests.available,Beschikbaar,,"Appears on buttons that switch tabs, should be short"
quests.completed,Afgewerkt,,"Appears on buttons that switch tabs, should be short"
quests.failed,Gefaald,,"Appears on buttons that switch tabs, should be short"
quests.list.available,Beschikbare Opdrachten,2022-09-21,Used as a list header for this quest type
quests.list.completed,Afgewerkte Opdrachten,2022-09-21,Used as a list header for this quest type
quests.list.failed,Gefaalde Opdrachten,2022-09-21,Used as a list header for this quest type
radar,Radar,,
radar.not.available,Radar is momenteel niet beschikbaar,,
raid,Aanval,,
raid.avoided,,,
random.color,Willekeurige Kleur,,
randomize,Willekeurig,,
reach.work.spot,,,
reactor.efficiency,,,
reactor.efficiency.desc,,,
ready,,,
ready.for.expedition,,,
ready.to.retry,,,
recently.cancelled.by.someone,,,
recharge,,,
recover,,,
reel.in,,,
refill,,,
refill.pet.bowl,,,
refill.priority,,,
refill.priority.help,,,
refocus,,,Used on a button that finds your space ship in the starmap. It focuses the camera on your ship. Also used in Researc Tree to quickly find and focus the camera on the technology that you are currently researching. Should be short.
